Track;Album Name;Artist;Release Date;ISRC;All Time Rank;Spotify Streams;Spotify Playlist Count;Spotify Playlist Reach
Last Friday Night (T.G.I.F.);Teenage Dream;Katy Perry;01/01/10;USCA21001264;2084;1144535829;170779;83827327
If the World Was Ending - feat. Julia Michaels;If the World Was Ending (feat. Julia Michaels);JP Saxe;10/17/2019;USQX91902708;1483;1145402792;134427;81562006
Apaga El Cel;Apaga El Cel;Calle 24;12/22/2023;USDXS2304292;2778;145975016;6115;16399686
Bank Account;Issa Album;21 Savage;07/06/17;USSM11705546;1267;1150653471;195032;31101180
Look What You Made Me Do;Look What You Made Me Do;Taylor Swift;8/24/2017;USCJY1750000;876;1152346128;93178;62880711
Falling Down - Bonus Track;Falling Down;Lil Peep;9/19/2018;USQX91802294;541;1156060152;18932;31366549
Roar;2013 The Hottest;Katy Perry;01/01/13;USUM71308669;725;1156191242;146653;68107488
How Deep Is Your Love;How Deep Is Your Love;Calvin Harris;7/17/2015;GBARL1500704;1026;1156342373;168603;66723908
APAGA EL CEL;APAGA EL CEL - Single;FloyyMenor;5/17/2024;QZMWW2484259;929;33245898;2343;69471936
DNA.;DAMN.;Kendrick Lamar;4/14/2017;USUM71703079;2184;1157112366;18566;44429618
Heartbreak Anniversary;HEARTBREAK ANNIVERSARY;Giveon;2/21/2020;USSM12000998;665;1157206056;189404;63215005
No Lie;Dua Lipa (Complete Edition);Sean Paul;01/01/15;GBUM71604557;1384;1162659862;180669;44962652
